time,distance,velocity,acceleration,downforce,drag,throttle,brake,lateral_g,longitudinal_g,fuel_mass,current_mass,drs_active
0.49999999999999994,1.3365490001071878,17.51035496875927,0.9946615581499674,0.061580195326991286,0.012316039065398257,1.0,0.0,0.0,0.9946615581499674,109.99759421179981,907.998031970674,0.0
1.0000000000000002,5.117573393645455,35.21520035206549,1.010990658109951,0.2772892080941585,0.055457841618831716,1.0,0.0,0.0,1.010990658109951,109.99078836789144,907.9916687479002,0.0
1.5000000000000007,11.386238228992383,53.3280646922632,1.0398009831047377,0.6578693423639379,0.13157386847278757,1.0,0.0,0.0,1.0398009831047377,109.97950477118782,907.9808379728051,0.0
2.000000000000001,20.21671605853229,72.08185721136059,1.0824855742578228,1.2217106255959436,0.24434212511918876,1.0,0.0,0.0,1.0824855742578228,109.96360991109464,907.9654119575249,0.0
2.499999999999999,31.709611977821314,91.53785546965035,1.115785855936617,1.8198861138255205,0.31279292581376134,1.0,0.0,0.0,1.115785855936617,109.94292269843992,907.9452111448267,1.0
2.9999999999999973,45.96033049252796,111.82932841973326,1.1788568893742402,2.7323303544572,0.46961927967233136,1.0,0.0,0.0,1.1788568893742402,109.91727140511345,907.9200671383239,1.0
3.4999999999999956,63.1236154913505,133.4031793918059,1.2598250875804202,3.9036258144981515,0.6709356868668698,1.0,0.0,0.0,1.2598250875804202,109.88637749211557,907.8897125716004,1.0
3.999999999999994,83.40381470500469,156.61420869724668,1.3628938968477269,5.394534129630015,0.927185553530159,1.0,0.0,0.0,1.3628938968477269,109.84987313353099,907.8537884887485,1.0
4.499999999999992,107.06106709902677,181.90706393351732,1.4939694156827799,7.290423923600575,1.2530416118688488,1.0,0.0,0.0,1.4939694156827799,109.80729007922176,907.8118377558201,1.0
4.99999999999999,134.25969091641446,206.58283747266802,1.2934153234648436,9.46835407840276,1.627373357225474,1.0,0.0,0.0,1.2934153234648436,109.75833255635045,907.7634971272872,1.0
5.4999999999999885,164.59320810230068,227.6028908453085,1.113722326013942,11.549420420926591,1.985056634846758,1.0,0.0,0.0,1.113722326013942,109.70373222541586,907.709422297687,1.0
5.999999999999987,197.62790900480798,245.86933181850287,0.9743540508406586,13.52233151714436,2.324150729509187,1.0,0.0,0.0,0.9743540508406586,109.64426976379134,907.6504164970868,1.0
6.499999999999985,230.85152700552277,236.05323985885084,-0.3120156611463218,13.890097156705254,2.7780194313410513,0.0,0.0,5.504031271200527,-0.3120156611463218,109.58446725139005,907.5903685823865,0.0
6.999999999999983,263.2235288027407,230.68154941518873,-0.2979641531496838,13.263708272061413,2.652741654412283,0.0,0.0,5.255821055669543,-0.2979641531496838,109.52619764815506,907.5319646868904,0.0
7.499999999999981,294.8679049169966,225.54883944403514,-0.28484116801777876,12.678748294762,2.5357496589524002,0.0,0.0,5.024027284097364,-0.28484116801777876,109.46923777114941,907.4748764921355,0.0
7.99999999999998,325.73881280260645,215.03602443453678,-3.4459047341306555,12.131642409776902,2.4263284819553808,0.0,1.0,5.49398104613593,-3.4459047341306555,109.4136701369553,907.4190460375662,0.0
8.499999999999986,353.87494340005395,200.24957987876596,-0.22443907207238836,9.988975552087133,1.997795110417427,0.0,0.0,4.523644903121664,-0.22443907207238836,109.3630251018799,907.3680313413769,0.0
8.999999999999993,381.38935460561044,196.37084051692833,-0.21582399065730662,9.605023959519766,1.9210047919039532,0.0,0.0,4.349767146017742,-0.21582399065730662,109.3134991617099,907.3184084327228,0.0
9.5,408.6097930041265,200.9988374690851,1.3463590892901185,8.949413326691877,1.5381804155251662,1.0,0.0,0.0,1.3463590892901185,109.26450237259257,907.2695273435293,1.0
10.000000000000007,438.2310442713284,222.8131235863397,1.1532686648894268,11.057290822341061,1.90047186008987,1.0,0.0,0.0,1.1532686648894268,109.21118412031161,907.2167544484013,1.0
10.500000000000014,470.64896038562705,241.69269612408107,1.0056599107720652,13.057619768321302,2.2442783976802243,1.0,0.0,0.0,1.0056599107720652,109.15283187130588,907.158874188709,1.0
11.000000000000021,505.5069765652299,258.2636956378451,0.886982737652478,14.948082179547193,2.5692016246096743,1.0,0.0,0.0,0.886982737652478,109.09008744218258,907.0965440345735,1.0
11.500000000000028,542.5180711962299,272.9434245597619,0.7883488175054759,16.728087348828478,2.8751400130798954,1.0,0.0,0.0,0.7883488175054759,109.02346747184679,907.0302910574608,1.0
12.000000000000036,581.443445708513,286.0308889693144,0.7044809581703547,18.398499085576315,3.162242030333429,1.0,0.0,0.0,0.7044809581703547,108.95340179772468,906.960552569949,1.0
12.500000000000043,622.0798767619514,297.7520125596003,0.6320033437711025,19.961358890669896,3.4308585593338883,1.0,0.0,0.0,0.6320033437711025,108.88025622182849,906.8877000221424,1.0
13.00000000000005,664.2516217226996,308.28448243349504,0.5686262562201779,21.419634411760338,3.681499664521308,1.0,0.0,0.0,0.5686262562201779,108.80434708089913,906.81205419296,1.0
13.500000000000057,707.8019789977147,317.56047225274847,0.39269102445721754,24.912343261616385,4.982468652323278,1.0,0.0,3.94866399576266,0.39269102445721754,108.72595643780411,906.7338954496104,0.0
14.000000000000064,752.4135049769416,324.07034315882817,0.3497967046799677,25.958636770664263,5.191727354132853,1.0,0.0,4.114503935618622,0.3497967046799677,108.64565569104151,906.6537574496205,0.0
14.500000000000071,797.8740578744173,329.8715411019798,0.31181794902327814,26.90909358614864,5.381818717229727,1.0,0.0,4.265153538003189,0.31181794902327814,108.56382669582605,906.5720734843536,0.0
